name,rider_url,team,team_url,bib_number,nationality
CARAPAZ Richard,richard-carapaz,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,EC
SWEENY Harry,harry-sweeny,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,AU
POWLESS Neilson,neilson-powless,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,US
HEALY Ben,ben-healy,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,IE
POGAČAR Tadej,tadej-pogacar,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,SI
ALMEIDA João,joao-almeida,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,PT
YATES Adam,adam-yates,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,GB
SIVAKOV Pavel,pavel-sivakov,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,FR
SOLER Marc,marc-soler,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,ES
WELLENS Tim,tim-wellens,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,BE
NARVÁEZ Jhonatan,jhonatan-narvaez,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,EC
NOVAK Domen,domen-novak,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,SI
POLITT Nils,nils-politt,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,DE
GALL Felix,felix-gall,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025,,AT
ROGLIČ Primož,primoz-roglic,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,SI
MARTÍNEZ Daniel Felipe,daniel-felipe-martinez,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,CO
VLASOV Aleksandr,aleksandr-vlasov,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,RU
TRATNIK Jan,jan-tratnik,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,SI
VAN POPPEL Danny,danny-van-poppel,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,NL
LIPOWITZ Florian,florian-lipowitz,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,DE
EVENEPOEL Remco,remco-evenepoel,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE
MERLIER Tim,tim-merlier,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE
VAN LERBERGHE Bert,bert-van-lerberghe,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE
EENKHOORN Pascal,pascal-eenkhoorn,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,NL
PARET-PEINTRE Valentin,valentin-paret-peintre,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,FR
VAN WILDER Ilan,ilan-van-wilder,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE
ARANBURU Alex,alex-aranburu,Cofidis (WT),team/cofidis-2025,,ES
IZAGIRRE Ion,ion-izagirre,Cofidis (WT),team/cofidis-2025,,ES
THOMAS Benjamin,benjamin-thomas-2,Cofidis (WT),team/cofidis-2025,,FR
BUCHMANN Emanuel,emanuel-buchmann,Cofidis (WT),team/cofidis-2025,,DE
CARR Simon,simon-carr,Cofidis (WT),team/cofidis-2025,,GB
VAN DER POEL Mathieu,mathieu-van-der-poel,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,NL
PHILIPSEN Jasper,jasper-philipsen,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,BE
GROVES Kaden,kaden-groves,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,AU
RIESEBEEK Oscar,oscar-riesebeek,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,NL
VAUQUELIN Kévin,kevin-vauquelin,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025,,FR
VAN AERT Wout,wout-van-aert,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,BE
YATES Simon,simon-yates,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,GB
VINGEGAARD Jonas,jonas-vingegaard,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,DK
JORGENSON Matteo,matteo-jorgenson,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,US
KUSS Sepp,sepp-kuss,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,US
CAMPENAERTS Victor,victor-campenaerts,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,BE
BENOOT Tiesj,tiesj-benoot,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,BE
AFFINI Edoardo,edoardo-affini,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,IT
KWIATKOWSKI Michał,michal-kwiatkowski,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,PL
RODRÍGUEZ Carlos,carlos-rodriguez-cano,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,ES
GANNA Filippo,filippo-ganna,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,IT
THOMAS Geraint,geraint-thomas,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,GB
ARENSMAN Thymen,thymen-arensman,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,NL
DE PLUS Laurens,laurens-de-plus,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,BE
FOSS Tobias,tobias-foss,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,NO
GIRMAY Biniam,biniam-girmay,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,ER
PAGE Hugo,hugo-page,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,FR
REX Laurenz,laurenz-rex,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,BE
ZIMMERMANN Georg,georg-zimmermann,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,DE
GOOSSENS Kobe,kobe-goossens,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,BE
BARRÉ Louis,louis-barre,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,FR
MILAN Jonathan,jonathan-milan,Lidl - Trek (WT),team/lidl-trek-2025,,IT
SKJELMOSE Mattias,mattias-skjelmose-jensen,Lidl - Trek (WT),team/lidl-trek-2025,,DK
STUYVEN Jasper,jasper-stuyven,Lidl - Trek (WT),team/lidl-trek-2025,,BE
THEUNS Edward,edward-theuns,Lidl - Trek (WT),team/lidl-trek-2025,,BE
CONSONNI Simone,simone-consonni,Lidl - Trek (WT),team/lidl-trek-2025,,IT
BERNARD Julien,julien-bernard,Lidl - Trek (WT),team/lidl-trek-2025,,FR
GEOGHEGAN HART Tao,tao-geoghegan-hart,Lidl - Trek (WT),team/lidl-trek-2025,,GB
NYS Thibau,thibau-nys,Lidl - Trek (WT),team/lidl-trek-2025,,BE
GAUDU David,david-gaudu,Groupama - FDJ (WT),team/groupama-fdj-2025,,FR
MARTIN Guillaume,guillaume-martin,Groupama - FDJ (WT),team/groupama-fdj-2025,,FR
MADOUAS Valentin,valentin-madouas,Groupama - FDJ (WT),team/groupama-fdj-2025,,FR
GRÉGOIRE Romain,romain-gregoire1,Groupama - FDJ (WT),team/groupama-fdj-2025,,FR
PACHER Quentin,quentin-pacher,Groupama - FDJ (WT),team/groupama-fdj-2025,,FR
CASTRILLO Pablo,pablo-castrillo-zapater,Movistar Team (WT),team/movistar-team-2025,,ES
MAS Enric,enric-mas,Movistar Team (WT),team/movistar-team-2025,,ES
OLIVEIRA Nelson,nelson-oliveira,Movistar Team (WT),team/movistar-team-2025,,PT
RUBIO Einer,einer-rubio,Movistar Team (WT),team/movistar-team-2025,,CO
GAVIRIA Fernando,fernando-gaviria,Movistar Team (WT),team/movistar-team-2025,,CO
ROMEO Iván,ivan-romeo,Movistar Team (WT),team/movistar-team-2025,,ES
ROMO Javier,javier-romo,Movistar Team (WT),team/movistar-team-2025,,ES
ONLEY Oscar,oscar-onley,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,,GB
VAN DEN BROEK Frank,frank-van-den-broek,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,,NL
ANDRESEN Tobias Lund,tobias-lund-andresen,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,,DK
O'CONNOR Ben,ben-o-connor,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,AU
DUNBAR Eddie,edward-irl-dunbar,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,IE
SCHMID Mauro,mauro-schmid,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,CH
GROENEWEGEN Dylan,dylan-groenewegen,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,NL
MEZGEC Luka,luka-mezgec,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,SI
REINDERS Elmar,elmar-reinders,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,NL
JUUL-JENSEN Christopher,christopher-juul-jensen,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,DK
MARTINEZ Lenny,lenny-martinez,Bahrain - Victorious (WT),team/bahrain-victorious-2025,,FR
BUITRAGO Santiago,santiago-buitrago-sanchez,Bahrain - Victorious (WT),team/bahrain-victorious-2025,,CO
MOHORIČ Matej,matej-mohoric,Bahrain - Victorious (WT),team/bahrain-victorious-2025,,SI
BAUHAUS Phil,phil-bauhaus,Bahrain - Victorious (WT),team/bahrain-victorious-2025,,DE
VELASCO Simone,simone-velasco,XDS Astana Team (WT),team/xds-astana-team-2025,,IT
TEJADA Harold,harold-tejada,XDS Astana Team (WT),team/xds-astana-team-2025,,CO
CHAMPOUSSIN Clément,clement-champoussin,XDS Astana Team (WT),team/xds-astana-team-2025,,FR
DE LIE Arnaud,arnaud-de-lie,Lotto (PRT),team/lotto-2025,,BE
VAN EETVELT Lennert,lennert-van-eetvelt,Lotto (PRT),team/lotto-2025,,BE
DE BUYST Jasper,jasper-de-buyst,Lotto (PRT),team/lotto-2025,,BE
BERCKMOES Jenno,jenno-berckmoes,Lotto (PRT),team/lotto-2025,,BE
ACKERMANN Pascal,pascal-ackermann,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,,DE
BLACKMORE Joseph,joseph-blackmore,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,,GB
WOODS Michael,michael-woods,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,,CA
LUTSENKO Alexey,aleksey-lutsenko,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,,KZ
STEWART Jake,jake-stewart,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,,GB
BURGAUDEAU Mathieu,mathieu-burgaudeau,Team TotalEnergies (PRT),team/team-totalenergies-2025,,FR
ALAPHILIPPE Julian,julian-alaphilippe,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,,FR
CORT Magnus,magnus-cort-nielsen,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,DK
WÆRENSKJOLD Søren,soren-waerenskjold,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO
LEKNESSUND Andreas,andreas-leknessund,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO
JOHANNESSEN Tobias Halland,tobias-halland-johannessen,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO
JOHANNESSEN Anders Halland,anders-halland-johannessen,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO
ABRAHAMSEN Jonas,jonas-abrahamsen,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO
HOELGAARD Markus,markus-hoelgaard,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO
FREDHEIM Stian,stian-fredheim,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO
